Date,Site,X.ofSpat,Avg.Size,mean_three_rows,sum_three_rows
6/16/2022,925Lgn,0,NA,NA,0
6/16/2022,925Lgn,0,NA,NA,0
6/16/2022,925Lgn,0,NA,NA,0
6/16/2022,990Bch,0,NA,NA,0
6/16/2022,990Bch,0,NA,NA,0
6/16/2022,990Bch,0,NA,NA,0
6/16/2022,918Lmt,2,2.87,NA,2
6/16/2022,918Lmt,1,4.51,NA,2
6/16/2022,918Lmt,3,4.203333333,NA,3
6/16/2022,425LTH,0,NA,NA,0
6/16/2022,425LTH,0,NA,NA,0
6/16/2022,425LTH,0,NA,NA,0
6/16/2022,440GLY,0,NA,NA,0
6/16/2022,440GLY,0,NA,NA,0
6/16/2022,440GLY,0,NA,NA,0
6/17/2022,461LTH,1,2.4,NA,1
6/17/2022,461LTH,0,NA,NA,1
6/17/2022,461LTH,0,NA,NA,0
6/17/2022,940LGN,0,NA,NA,0
6/17/2022,940LGN,0,NA,NA,0
6/17/2022,940LGN,0,NA,NA,1
6/17/2022,790BCH,0,NA,NA,0
6/17/2022,790BCH,0,NA,NA,0
6/17/2022,790BCH,0,NA,NA,0
6/17/2022,836SDR,0,NA,NA,0
6/17/2022,836SDR,0,NA,NA,0
6/17/2022,836SDR,0,NA,NA,0
6/17/2022,1063SYM,1,2.443,NA,4
6/17/2022,1063SYM,0,NA,NA,0
6/17/2022,1063SYM,1,4.17,NA,1
6/30/2022,440GLY,0,NA,NA,2
6/30/2022,440GLY,0,NA,NA,0
6/30/2022,440GLY,0,NA,NA,0
6/30/2022,425 LTH,13,4.727692308,NA,14
6/30/2022,425 LTH,11,4.1554545450000004,NA,14
6/30/2022,425 LTH,9,4.283333333,NA,12
6/30/2022,918 LMT,39,5.088461538,4.03557593066667,94
6/30/2022,918 LMT,38,3.856315789,3.674855263,82
6/30/2022,918 LMT,33,3.099090909,3.13400437,81
6/30/2022,990 BCH,1,4.98,NA,1
6/30/2022,990 BCH,1,3.11,NA,2
6/30/2022,990 BCH,0,NA,NA,1
6/30/2022,925 LGN,3,3.856666667,2.71222222233333,5
6/30/2022,925 LGN,0,NA,NA,3
6/30/2022,925 LGN,13,3.295384615,2.67346153833333,22
7/1/2022,836 SDR,27,5.326296296,4.634654321,66
7/1/2022,836 SDR,53,4.330754717,3.460844165,119
7/1/2022,836 SDR,29,5.325862069,4.81203338833333,46
7/1/2022,461 LTH,21,6.73952381,5.79428571433333,30
7/1/2022,461 LTH,16,4.6275,4.6925,30
7/1/2022,461 LTH,13,4.571538462,3.63940170966667,17
7/1/2022,940LGN,2,6.195,NA,6
7/1/2022,940LGN,1,6.97,5.285436508,20
7/1/2022,940LGN,8,5.31,NA,9
7/1/2022,790 BCH,3,5.326666667,NA,3
7/1/2022,790 BCH,0,NA,NA,3
7/1/2022,790 BCH,2,3.6,NA,2
7/1/2022,1063SYM,52,5.259038462,4.500655097,216
7/1/2022,1063SYM,35,6.075714286,5.37816309533333,108
7/1/2022,1063SYM,17,5.737058824,5.006806723,117
7/14/2022,925LGN,131,3.735725191,4.56049485066667,322
7/14/2022,925LGN,82,3.757804878,3.37820563133333,192
7/14/2022,925LGN,27,6.194814815,5.72671247733333,159
7/14/2022,440GLY,0,NA,NA,3
7/14/2022,440GLY,4,2.43,NA,7
7/14/2022,440GLY,0,NA,NA,1
7/14/2022,990 BCH,16,6.2175,4.98570987666667,124
7/14/2022,990 BCH,62,4.086935484,4.07921378866667,84
7/14/2022,990 BCH,1,5.47,5.40817029,55
7/14/2022,918 LMT,119,6.905210084,6.19162299933333,265
7/14/2022,918 LMT,71,4.973239437,4.76597716666667,209
7/14/2022,918 LMT,43,5.76,5.33954545466667,123
7/14/2022,425 LTH,32,8.681875,7.026522436,50
7/14/2022,425 LTH,20,9.595,6.88023809533333,28
7/14/2022,425 LTH,4,5.62,8.06875,42
7/15/2022,836 SDR,55,7.752181818,7.28925601266667,200
7/15/2022,836 SDR,111,6.788288288,6.21941479466667,312
7/15/2022,836 SDR,58,7.783965517,6.36773986533333,202
7/15/2022,940 LGN,11,7.472727273,6.60729798,31
7/15/2022,940 LGN,5,6.368,8.122923077,31
7/15/2022,940 LGN,7,10.26714286,7.895436509,21
7/15/2022,1063 SYM,131,7.591068702,7.30079639466667,501
7/15/2022,1063 SYM,133,8.756315789,8.02329239766667,377
7/15/2022,1063 SYM,28,7.105357143,7.710701681,183
7/15/2022,790 BCH,1,3.14,NA,4
7/15/2022,790 BCH,6,4.156666667,5.605925926,24
7/15/2022,790 BCH,2,7.455,NA,6
7/15/2022,461 LTH,16,12.164375,9.79659228166667,72
7/15/2022,461 LTH,43,9.467906977,9.09809020433333,87
7/15/2022,461 LTH,25,10.012,7.522,39
7/28/2022,990 BCH,60,9.041116667,9.813002269,256
7/28/2022,990 BCH,3,6.122333333,8.77675073933333,102
7/28/2022,990 BCH,3,5.893666667,7.94914316133333,71
7/28/2022,925 LGN,137,9.234029197,9.13367189633333,551
7/28/2022,925 LGN,106,8.903386792,8.27067801066667,317
7/28/2022,925 LGN,62,8.099709677,8.920313482,283
7/28/2022,918 LMT,116,10.88512931,9.21579315566667,313
7/28/2022,918 LMT,42,7.815190476,7.04228715733333,182
7/28/2022,918 LMT,27,7.395185185,6.990526154,96
7/28/2022,425 LTH,58,12.14468966,10.6082239333333,94
7/28/2022,425 LTH,19,13.96910526,10.6899398486667,38
7/28/2022,425 LTH,23,14.06747826,13.3146260866667,40
7/28/2022,440 GLY,6,5.678333333,4.40294444433333,9
7/28/2022,440 GLY,1,7.245,7.92966666666667,3
7/28/2022,440 GLY,1,4.517,NA,1
7/29/2022,790 BCH,4,6.74125,7.602732456,27
7/29/2022,790 BCH,1,7.424,10.0575666666667,14
7/29/2022,790 BCH,3,11.618,8.5313,23
7/29/2022,1063 SYM,159,9.421987421,10.255165257,623
7/29/2022,1063 SYM,130,10.51407692,10.6160884933333,370
7/29/2022,1063 SYM,77,6.887090909,7.81177909833333,280
7/29/2022,863 SDR,130,9.902030769,9.80681089,462
7/29/2022,863 SDR,139,10.06560432,9.61927189966667,399
7/29/2022,863 SDR,82,10.8459878,9.45322105933333,248
7/29/2022,940 LGN,54,10.2352963,9.468009481,162
7/29/2022,940 LGN,18,8.853833333,9.52460964766667,115
7/29/2022,940 LGN,35,10.45985714,9.47302516866667,92
7/29/2022,461 LTH,69,12.85552174,11.56849931,145
7/29/2022,461 LTH,41,12.49563415,11.94918904,88
7/29/2022,461 LTH,43,11.91567442,9.29416369566667,60
