"","Date","Site","Average_Size","X._of_Spat","Chlorophyll.ug.m","ODO.","Sal.psu","Temp.C"
"1","6/16/22","425LTH",0,0,5.59,45.4,25.52,30.881
"2","6/16/22","425LTH",0,0,5.59,45.4,25.52,30.881
"3","6/16/22","425LTH",0,0,5.59,45.4,25.52,30.881
"4","6/16/22","440GLY",0,0,7.58,7.8,25.61,30.363
"5","6/16/22","440GLY",0,0,7.58,7.8,25.61,30.363
"6","6/16/22","440GLY",0,0,7.58,7.8,25.61,30.363
"7","6/16/22","918Lmt",0,2,4.03,85.1,26.32,31.04
"8","6/16/22","918Lmt",0,2,4.03,85.1,26.32,31.04
"9","6/16/22","918Lmt",0,3,4.03,85.1,26.32,31.04
"10","6/16/22","925Lgn",0,0,28.91,87.4,25.35,31.98
"11","6/16/22","925Lgn",0,0,28.91,87.4,25.35,31.98
"12","6/16/22","925Lgn",0,0,28.91,87.4,25.35,31.98
"13","6/16/22","990Bch",0,0,27.57,99.6,24.58,31.788
"14","6/16/22","990Bch",0,0,27.57,99.6,24.58,31.788
"15","6/16/22","990Bch",0,0,27.57,99.6,24.58,31.788
"16","6/17/22","1063SYM",0,4,4.31,77.5,26.42,30.852
"17","6/17/22","1063SYM",0,0,4.31,77.5,26.42,30.852
"18","6/17/22","1063SYM",0,1,4.31,77.5,26.42,30.852
"19","6/17/22","461LTH",0,1,5.5,51.1,26.78,31.57
"20","6/17/22","461LTH",0,1,5.5,51.1,26.78,31.57
"21","6/17/22","461LTH",0,0,5.5,51.1,26.78,31.57
"22","6/17/22","790BCH",0,0,24.82,89.3,25.57,32.132
"23","6/17/22","790BCH",0,0,24.82,89.3,25.57,32.132
"24","6/17/22","790BCH",0,0,24.82,89.3,25.57,32.132
"25","6/17/22","836SDR",0,0,13.91,79.2,25.94,31.608
"26","6/17/22","836SDR",0,0,13.91,79.2,25.94,31.608
"27","6/17/22","836SDR",0,0,13.91,79.2,25.94,31.608
"28","6/17/22","940LGN",0,0,12.85,97.5,25.78,31.023
"29","6/17/22","940LGN",0,0,12.85,97.5,25.78,31.023
"30","6/17/22","940LGN",0,1,12.85,97.5,25.78,31.023
"31","6/30/22","425 LTH",0,14,4.9,65.8,26.75,30.33
"32","6/30/22","425 LTH",0,14,4.9,65.8,26.75,30.33
"33","6/30/22","425 LTH",0,12,4.9,65.8,26.75,30.33
"34","6/30/22","440GLY",0,2,7.79,23,27.13,30.795
"35","6/30/22","440GLY",0,0,7.79,23,27.13,30.795
"36","6/30/22","440GLY",0,0,7.79,23,27.13,30.795
"37","6/30/22","918 LMT",4.035575931,94,2.52,80.3,26.81,30.415
"38","6/30/22","918 LMT",3.674855263,82,2.52,80.3,26.81,30.415
"39","6/30/22","918 LMT",3.13400437,81,2.52,80.3,26.81,30.415
"40","6/30/22","925 LGN",2.712222222,5,8.08,75.9,25.33,31.862
"41","6/30/22","925 LGN",0,3,8.08,75.9,25.33,31.862
"42","6/30/22","925 LGN",2.673461538,22,8.08,75.9,25.33,31.862
"43","6/30/22","990 BCH",0,1,11.38,74.7,25.69,31.907
"44","6/30/22","990 BCH",0,2,11.38,74.7,25.69,31.907
"45","6/30/22","990 BCH",0,1,11.38,74.7,25.69,31.907
"46","7/1/22","1063SYM",4.500655097,216,1.51,69.4,27.23,30.564
"47","7/1/22","1063SYM",5.378163095,108,1.51,69.4,27.23,30.564
"48","7/1/22","1063SYM",5.006806723,117,1.51,69.4,27.23,30.564
"49","7/1/22","461 LTH",5.794285714,30,2.29,56.3,27.54,31.125
"50","7/1/22","461 LTH",4.6925,30,2.29,56.3,27.54,31.125
"51","7/1/22","461 LTH",3.63940171,17,2.29,56.3,27.54,31.125
"52","7/1/22","790 BCH",0,3,6.32,74,26.19,32.172
"53","7/1/22","790 BCH",0,3,6.32,74,26.19,32.172
"54","7/1/22","790 BCH",0,2,6.32,74,26.19,32.172
"55","7/1/22","836 SDR",4.634654321,66,3.75,55,26.72,31.361
"56","7/1/22","836 SDR",3.460844165,119,3.75,55,26.72,31.361
"57","7/1/22","836 SDR",4.812033388,46,3.75,55,26.72,31.361
"58","7/1/22","940LGN",0,6,4.09,74.3,26.26,30.12
"59","7/1/22","940LGN",5.285436508,20,4.09,74.3,26.26,30.12
"60","7/1/22","940LGN",0,9,4.09,74.3,26.26,30.12
"61","7/14/22","425 LTH",7.026522436,50,5.36,47.7,29.76,31.168
"62","7/14/22","425 LTH",6.880238095,28,5.36,47.7,29.76,31.168
"63","7/14/22","425 LTH",8.06875,42,5.36,47.7,29.76,31.168
"64","7/14/22","440GLY",0,3,6.97,15.9,28.54,30.961
"65","7/14/22","440GLY",0,7,6.97,15.9,28.54,30.961
"66","7/14/22","440GLY",0,1,6.97,15.9,28.54,30.961
"67","7/14/22","918 LMT",6.191622999,265,3.27,73.8,29.97,31.785
"68","7/14/22","918 LMT",4.765977167,209,3.27,73.8,29.97,31.785
"69","7/14/22","918 LMT",5.339545455,123,3.27,73.8,29.97,31.785
"70","7/14/22","925LGN",4.560494851,322,8.97,66.8,28.2,31.835
"71","7/14/22","925LGN",3.378205631,192,8.97,66.8,28.2,31.835
"72","7/14/22","925LGN",5.726712477,159,8.97,66.8,28.2,31.835
"73","7/14/22","990 BCH",4.985709877,124,7.36,60,28.33,32.087
"74","7/14/22","990 BCH",4.079213789,84,7.36,60,28.33,32.087
"75","7/14/22","990 BCH",5.40817029,55,7.36,60,28.33,32.087
"76","7/15/22","1063 SYM",7.300796395,501,4.36,59.2,30.04,30.539
"77","7/15/22","1063 SYM",8.023292398,377,4.36,59.2,30.04,30.539
"78","7/15/22","1063 SYM",7.710701681,183,4.36,59.2,30.04,30.539
"79","7/15/22","461 LTH",9.796592282,72,4.54,53.5,30.45,30.49
"80","7/15/22","461 LTH",9.098090204,87,4.54,53.5,30.45,30.49
"81","7/15/22","461 LTH",7.522,39,4.54,53.5,30.45,30.49
"82","7/15/22","790 BCH",0,4,9.28,48.2,28.39,30.896
"83","7/15/22","790 BCH",5.605925926,24,9.28,48.2,28.39,30.896
"84","7/15/22","790 BCH",0,6,9.28,48.2,28.39,30.896
"85","7/15/22","836 SDR",7.289256013,200,4.48,50.5,29.07,31.039
"86","7/15/22","836 SDR",6.219414795,312,4.48,50.5,29.07,31.039
"87","7/15/22","836 SDR",6.367739865,202,4.48,50.5,29.07,31.039
"88","7/15/22","940 LGN",6.60729798,31,7.33,59.6,29.12,30.471
"89","7/15/22","940 LGN",8.122923077,31,7.33,59.6,29.12,30.471
"90","7/15/22","940 LGN",7.895436509,21,7.33,59.6,29.12,30.471
"91","7/28/22","425 LTH",10.60822393,94,11.72,51.5,31.55,30.246
"92","7/28/22","425 LTH",10.68993985,38,11.72,51.5,31.55,30.246
"93","7/28/22","425 LTH",13.31462609,40,11.72,51.5,31.55,30.246
"94","7/28/22","440 GLY",4.402944444,9,5.23,13.7,29.52,28.815
"95","7/28/22","440 GLY",7.929666667,3,5.23,13.7,29.52,28.815
"96","7/28/22","440 GLY",0,1,5.23,13.7,29.52,28.815
"97","7/28/22","918 LMT",9.215793156,313,4.94,68.2,30.95,30.095
"98","7/28/22","918 LMT",7.042287157,182,4.94,68.2,30.95,30.095
"99","7/28/22","918 LMT",6.990526154,96,4.94,68.2,30.95,30.095
"100","7/28/22","925 LGN",9.133671896,551,8.48,60.1,29.52,30.421
"101","7/28/22","925 LGN",8.270678011,317,8.48,60.1,29.52,30.421
"102","7/28/22","925 LGN",8.920313482,283,8.48,60.1,29.52,30.421
"103","7/28/22","990 BCH",9.813002269,256,9.84,61.5,29.85,30.793
"104","7/28/22","990 BCH",8.776750739,102,9.84,61.5,29.85,30.793
"105","7/28/22","990 BCH",7.949143161,71,9.84,61.5,29.85,30.793
"106","7/29/22","1063 SYM",10.25516526,623,5.52,64.9,31.34,30.338
"107","7/29/22","1063 SYM",10.61608849,370,5.52,64.9,31.34,30.338
"108","7/29/22","1063 SYM",7.811779098,280,5.52,64.9,31.34,30.338
"109","7/29/22","461 LTH",11.56849931,145,9.71,64.4,31.61,30.378
"110","7/29/22","461 LTH",11.94918904,88,9.71,64.4,31.61,30.378
"111","7/29/22","461 LTH",9.294163696,60,9.71,64.4,31.61,30.378
"112","7/29/22","790 BCH",7.602732456,27,7.25,66.1,29.74,30.516
"113","7/29/22","790 BCH",10.05756667,14,7.25,66.1,29.74,30.516
"114","7/29/22","790 BCH",8.5313,23,7.25,66.1,29.74,30.516
"115","7/29/22","863 SDR",9.80681089,462,5.16,57.9,30,30.353
"116","7/29/22","863 SDR",9.6192719,399,5.16,57.9,30,30.353
"117","7/29/22","863 SDR",9.453221059,248,5.16,57.9,30,30.353
"118","7/29/22","940 LGN",9.468009481,162,8.2,66.9,30.41,30.281
"119","7/29/22","940 LGN",9.524609648,115,8.2,66.9,30.41,30.281
"120","7/29/22","940 LGN",9.473025169,92,8.2,66.9,30.41,30.281
